datetime,temperature,humidity,apparent_temperature
2019-01-01T00:00,21.5,20,16.8
2019-01-01T01:00,19.7,24,15.0
2019-01-01T02:00,19.0,26,14.3
2019-01-01T03:00,18.7,27,13.8
2019-01-01T04:00,18.4,27,13.5
2019-01-01T05:00,17.8,29,12.9
2019-01-01T06:00,17.3,29,12.4
2019-01-01T07:00,17.0,30,12.1
2019-01-01T08:00,16.9,31,11.9
2019-01-01T09:00,18.7,28,13.6
2019-01-01T10:00,21.4,23,16.1
2019-01-01T11:00,24.0,20,18.5
2019-01-01T12:00,27.6,15,22.5
2019-01-01T13:00,29.9,13,25.3
2019-01-01T14:00,31.6,12,27.3
2019-01-01T15:00,32.8,12,28.5
2019-01-01T16:00,33.2,11,28.4
2019-01-01T17:00,33.0,12,28.1
2019-01-01T18:00,31.7,12,27.0
2019-01-01T19:00,29.4,14,24.7
2019-01-01T20:00,28.0,15,23.1
2019-01-01T21:00,27.1,16,22.0
2019-01-01T22:00,26.2,17,21.0
2019-01-01T23:00,25.2,17,19.9
2019-01-02T00:00,24.6,18,19.1
2019-01-02T01:00,23.5,19,17.6
2019-01-02T02:00,22.9,19,16.7
2019-01-02T03:00,22.3,19,16.0
2019-01-02T04:00,21.6,19,15.2
2019-01-02T05:00,21.1,19,14.7
2019-01-02T06:00,20.5,20,14.1
2019-01-02T07:00,19.9,21,13.6
2019-01-02T08:00,19.5,21,13.3
2019-01-02T09:00,20.9,20,14.5
2019-01-02T10:00,22.9,17,16.2
2019-01-02T11:00,24.8,15,17.6
2019-01-02T12:00,27.6,13,21.2
2019-01-02T13:00,29.2,11,23.3
2019-01-02T14:00,30.5,11,25.0
2019-01-02T15:00,31.2,10,25.8
2019-01-02T16:00,31.5,10,25.8
2019-01-02T17:00,31.1,11,25.3
2019-01-02T18:00,30.1,11,24.8
2019-01-02T19:00,28.1,13,23.0
2019-01-02T20:00,27.0,14,21.8
2019-01-02T21:00,25.6,15,20.4
2019-01-02T22:00,24.6,15,19.3
2019-01-02T23:00,23.8,16,18.4
2019-01-03T00:00,23.1,16,17.9
2019-01-03T01:00,21.4,18,16.2
2019-01-03T02:00,20.3,19,14.9
2019-01-03T03:00,19.8,19,14.3
2019-01-03T04:00,19.0,19,13.4
2019-01-03T05:00,18.2,19,12.6
2019-01-03T06:00,17.2,20,11.5
2019-01-03T07:00,16.5,21,10.6
2019-01-03T08:00,16.2,21,10.1
2019-01-03T09:00,17.5,18,11.1
2019-01-03T10:00,19.0,15,12.2
2019-01-03T11:00,20.8,13,13.7
2019-01-03T12:00,22.6,13,16.0
2019-01-03T13:00,24.5,12,18.7
2019-01-03T14:00,25.8,11,20.1
2019-01-03T15:00,26.8,10,21.1
2019-01-03T16:00,27.1,10,20.9
2019-01-03T17:00,27.0,10,20.8
2019-01-03T18:00,26.2,10,20.4
2019-01-03T19:00,24.2,11,18.8
2019-01-03T20:00,22.8,12,17.3
2019-01-03T21:00,21.6,11,16.1
2019-01-03T22:00,20.8,11,14.8
2019-01-03T23:00,20.1,12,13.9
2019-01-04T00:00,19.1,13,13.3
2019-01-04T01:00,18.0,14,12.2
2019-01-04T02:00,17.0,15,11.3
2019-01-04T03:00,16.6,16,10.8
2019-01-04T04:00,16.0,18,10.3
2019-01-04T05:00,15.5,19,9.8
2019-01-04T06:00,15.1,20,9.5
2019-01-04T07:00,14.9,21,9.2
2019-01-04T08:00,14.3,23,8.4
2019-01-04T09:00,15.7,21,9.7
2019-01-04T10:00,17.6,18,11.4
2019-01-04T11:00,19.1,16,12.7
2019-01-04T12:00,22.2,12,15.9
2019-01-04T13:00,24.2,11,18.6
2019-01-04T14:00,25.3,10,19.6
2019-01-04T15:00,26.3,9,20.7
2019-01-04T16:00,26.7,9,20.9
2019-01-04T17:00,26.6,9,20.9
2019-01-04T18:00,25.9,9,20.5
2019-01-04T19:00,24.5,10,19.4
2019-01-04T20:00,23.6,10,18.2
2019-01-04T21:00,22.6,11,17.3
2019-01-04T22:00,22.1,11,16.8
2019-01-04T23:00,21.5,11,16.0
2019-01-05T00:00,20.7,12,15.4
2019-01-05T01:00,19.5,12,14.0
2019-01-05T02:00,18.8,13,13.2
2019-01-05T03:00,18.2,13,12.3
2019-01-05T04:00,17.9,12,11.8
2019-01-05T05:00,17.8,12,11.5
2019-01-05T06:00,17.3,13,11.1
2019-01-05T07:00,16.3,14,10.0
2019-01-05T08:00,16.1,14,9.6
2019-01-05T09:00,17.4,13,10.8
2019-01-05T10:00,19.5,11,12.8
2019-01-05T11:00,21.5,10,14.3
2019-01-05T12:00,24.1,9,17.5
2019-01-05T13:00,26.0,9,19.9
2019-01-05T14:00,27.2,8,21.4
2019-01-05T15:00,27.9,8,21.9
2019-01-05T16:00,28.2,8,21.9
2019-01-05T17:00,28.0,8,22.0
2019-01-05T18:00,27.1,8,21.6
2019-01-05T19:00,25.1,9,19.9
2019-01-05T20:00,23.8,10,18.2
2019-01-05T21:00,22.8,11,17.0
2019-01-05T22:00,21.9,12,15.9
2019-01-05T23:00,21.2,12,15.1
2019-01-06T00:00,20.5,13,14.3
2019-01-06T01:00,19.1,14,13.0
2019-01-06T02:00,18.4,14,12.1
2019-01-06T03:00,17.6,15,11.4
2019-01-06T04:00,17.0,16,10.9
2019-01-06T05:00,16.5,16,10.3
2019-01-06T06:00,15.9,17,9.6
2019-01-06T07:00,15.4,18,9.0
