night_date,year,month,min_temp,max_temp,avg_temp,hours_counted,is_tropical
2019-01-01,2019,1,21.1,31.7,25.3,12,0
2019-01-02,2019,1,18.2,30.1,23.4,12,0
2019-01-03,2019,1,15.5,26.2,19.8,12,0
2019-01-04,2019,1,17.8,25.9,21.1,12,0
2019-01-05,2019,1,16.5,27.1,20.9,12,0
2019-01-06,2019,1,15.9,27.4,20.9,12,0
2019-01-07,2019,1,15.1,28.0,20.4,12,0
2019-01-08,2019,1,15.7,28.6,20.9,12,0
2019-01-09,2019,1,14.4,28.5,20.3,12,0
2019-01-10,2019,1,15.0,27.7,19.8,12,0
2019-01-11,2019,1,14.2,27.4,19.5,12,0
2019-01-12,2019,1,16.6,29.4,21.9,12,0
2019-01-13,2019,1,18.7,30.6,23.8,12,0
2019-01-14,2019,1,16.0,24.4,19.8,12,0
2019-01-15,2019,1,14.6,22.2,18.2,12,0
2019-01-16,2019,1,17.1,28.3,21.2,12,0
2019-01-17,2019,1,16.1,26.6,20.7,12,0
2019-01-18,2019,1,14.6,23.3,18.5,12,0
2019-01-19,2019,1,12.8,23.8,17.6,12,0
2019-01-20,2019,1,13.9,24.9,18.4,12,0
2019-01-21,2019,1,14.9,25.9,19.7,12,0
2019-01-22,2019,1,15.8,25.0,19.9,12,0
2019-01-23,2019,1,13.9,25.9,19.4,12,0
2019-01-24,2019,1,14.4,26.3,19.1,12,0
2019-01-25,2019,1,17.0,26.6,20.5,12,0
2019-01-26,2019,1,20.0,29.6,24.7,12,0
2019-01-27,2019,1,20.4,29.1,24.5,12,0
2019-01-28,2019,1,18.4,29.6,23.2,12,0
2019-01-29,2019,1,16.5,27.0,21.2,12,0
2019-01-30,2019,1,15.8,29.0,21.3,12,0
2019-01-31,2019,1,17.2,29.5,22.3,12,0
2019-02-01,2019,2,16.5,26.2,21.1,12,0
2019-02-02,2019,2,18.1,27.1,21.9,12,0
2019-02-03,2019,2,16.0,27.1,21.2,12,0
2019-02-04,2019,2,16.3,23.7,19.4,12,0
2019-02-05,2019,2,18.6,29.3,23.3,12,0
2019-02-06,2019,2,18.9,28.4,22.9,12,0
2019-02-07,2019,2,19.2,28.4,23.0,12,0
2019-02-08,2019,2,20.5,29.3,24.1,12,0
2019-02-09,2019,2,20.4,30.1,24.3,12,0
2019-02-10,2019,2,22.2,33.8,26.5,12,0
2019-02-11,2019,2,21.8,33.2,26.4,12,0
2019-02-12,2019,2,22.8,33.2,27.0,12,0
2019-02-13,2019,2,19.5,31.1,24.7,12,0
2019-02-14,2019,2,17.7,31.6,23.2,12,0
2019-02-15,2019,2,17.6,26.7,21.1,12,0
2019-02-16,2019,2,17.9,22.1,19.5,12,0
2019-02-17,2019,2,16.9,26.0,20.1,12,0
2019-02-18,2019,2,16.6,27.2,20.6,12,0
2019-02-19,2019,2,17.9,29.5,22.5,12,0
2019-02-20,2019,2,16.2,29.8,21.6,12,0
2019-02-21,2019,2,18.3,27.6,21.9,12,0
2019-02-22,2019,2,21.2,33.5,26.6,12,0
2019-02-23,2019,2,20.5,31.5,25.3,12,0
2019-02-24,2019,2,17.9,29.1,22.9,12,0
2019-02-25,2019,2,19.1,29.2,23.2,12,0
2019-02-26,2019,2,17.5,27.5,21.9,12,0
2019-02-27,2019,2,17.6,26.2,21.4,12,0
2019-02-28,2019,2,18.1,27.5,22.4,12,0
2019-03-01,2019,3,17.2,26.6,21.3,12,0
2019-03-02,2019,3,15.5,27.9,21.1,12,0
2019-03-03,2019,3,17.0,29.4,22.4,12,0
2019-03-04,2019,3,16.9,30.0,22.6,12,0
2019-03-05,2019,3,16.5,32.5,21.8,12,0
2019-03-06,2019,3,18.3,25.9,20.9,12,0
2019-03-07,2019,3,19.0,28.6,23.8,12,0
2019-03-08,2019,3,19.2,29.2,23.7,12,0
2019-03-09,2019,3,17.8,27.8,22.1,12,0
2019-03-10,2019,3,19.5,32.0,24.9,12,0
2019-03-11,2019,3,22.0,32.8,26.2,12,0
2019-03-12,2019,3,22.0,31.8,26.3,12,0
2019-03-13,2019,3,20.6,32.1,25.7,12,0
2019-03-14,2019,3,20.8,31.7,25.4,12,0
2019-03-15,2019,3,17.2,32.3,23.4,12,0
2019-03-16,2019,3,20.8,31.6,24.7,12,0
2019-03-17,2019,3,21.5,35.3,27.4,12,0
2019-03-18,2019,3,20.2,33.3,24.6,12,0
2019-03-19,2019,3,20.0,31.7,23.5,12,0
2019-03-20,2019,3,19.5,28.9,22.6,12,0
2019-03-21,2019,3,18.0,21.1,19.1,12,0
2019-03-22,2019,3,17.5,20.0,18.4,12,0
2019-03-23,2019,3,17.0,20.1,17.9,12,0
2019-03-24,2019,3,16.1,20.4,17.7,12,0
2019-03-25,2019,3,16.6,19.9,17.7,12,0
2019-03-26,2019,3,16.3,20.7,18.1,12,0
2019-03-27,2019,3,16.9,21.0,18.4,12,0
2019-03-28,2019,3,18.0,21.8,19.5,12,0
2019-03-29,2019,3,18.8,22.0,19.9,12,0
2019-03-30,2019,3,16.3,22.6,19.0,12,0
2019-03-31,2019,3,16.9,24.0,19.5,12,0
2019-04-01,2019,4,18.9,25.0,20.9,12,0
2019-04-02,2019,4,17.8,22.0,19.3,12,0
2019-04-03,2019,4,17.5,21.5,19.3,12,0
2019-04-04,2019,4,17.5,22.9,19.5,12,0
2019-04-05,2019,4,18.4,24.2,20.7,12,0
2019-04-06,2019,4,20.1,30.4,25.0,12,0
2019-04-07,2019,4,22.9,28.0,25.2,12,0
