night_date,year,month,min_temp,max_temp,avg_temp,hours_counted,is_tropical
2019-05-07,2019,5,25.1,29.6,27.3,12,1
2019-06-04,2019,6,26.0,32.4,29.1,12,1
2019-06-08,2019,6,25.4,29.0,27.1,12,1
2019-06-09,2019,6,31.4,40.6,36.0,12,1
2019-06-10,2019,6,27.4,33.7,29.2,12,1
2019-06-15,2019,6,25.9,28.2,27.0,12,1
2019-06-16,2019,6,28.8,35.0,31.5,12,1
2019-06-17,2019,6,29.0,32.0,29.5,12,1
2019-06-18,2019,6,27.5,31.9,30.0,12,1
2019-06-19,2019,6,26.1,28.9,26.9,12,1
2019-06-25,2019,6,28.8,33.4,30.9,12,1
2019-06-26,2019,6,31.7,35.9,34.1,12,1
2019-06-27,2019,6,28.1,35.5,29.9,12,1
2019-06-28,2019,6,26.4,28.9,27.6,12,1
2019-06-29,2019,6,28.5,31.2,29.9,12,1
2019-07-13,2019,7,25.2,27.7,25.9,12,1
2019-07-23,2019,7,25.1,28.9,26.5,12,1
2019-08-02,2019,8,26.1,29.3,27.0,12,1
2019-08-14,2019,8,25.6,29.5,27.8,12,1
2019-08-15,2019,8,25.3,28.1,26.4,12,1
2019-08-22,2019,8,26.5,28.5,27.2,12,1
2019-08-24,2019,8,25.6,27.8,26.4,12,1
2019-08-25,2019,8,25.3,27.5,26.2,12,1
2019-08-27,2019,8,25.7,27.4,26.3,12,1
2019-08-28,2019,8,26.3,28.6,27.1,12,1
2019-08-29,2019,8,26.1,28.1,27.0,12,1
2019-08-30,2019,8,26.1,29.4,27.1,12,1
2019-08-31,2019,8,26.5,27.6,26.9,12,1
2019-09-01,2019,9,25.7,28.4,26.8,12,1
2019-09-02,2019,9,26.4,28.2,27.0,12,1
2019-09-03,2019,9,27.3,29.5,28.0,12,1
2019-09-04,2019,9,27.8,36.5,30.9,12,1
2019-09-05,2019,9,27.3,29.8,28.1,12,1
2019-09-06,2019,9,27.0,30.0,28.1,12,1
2019-09-07,2019,9,26.7,30.4,28.2,12,1
2019-09-08,2019,9,26.6,30.0,27.9,12,1
2019-09-09,2019,9,28.1,31.8,29.5,12,1
2019-09-10,2019,9,26.5,31.3,28.7,12,1
2019-09-11,2019,9,26.6,30.7,28.3,12,1
2019-09-12,2019,9,26.9,34.3,30.2,12,1
2019-09-13,2019,9,26.8,30.2,27.7,12,1
2019-09-14,2019,9,26.9,35.2,29.6,12,1
2019-09-15,2019,9,26.6,30.1,27.8,12,1
2019-09-16,2019,9,26.4,28.7,27.2,12,1
2019-09-17,2019,9,26.1,28.5,27.0,12,1
2019-09-18,2019,9,26.1,28.6,27.0,12,1
2019-09-19,2019,9,26.5,29.2,27.7,12,1
2019-09-20,2019,9,26.3,29.5,27.4,12,1
2019-09-21,2019,9,26.5,30.0,27.8,12,1
2019-09-22,2019,9,27.2,31.6,28.8,12,1
2019-09-23,2019,9,26.7,29.7,27.7,12,1
2019-09-24,2019,9,26.2,30.4,27.7,12,1
2019-09-25,2019,9,25.6,28.5,26.8,12,1
2019-09-26,2019,9,25.6,29.9,27.2,12,1
2019-09-27,2019,9,25.1,28.0,26.3,12,1
2019-10-02,2019,10,27.5,41.8,33.0,12,1
2019-10-03,2019,10,26.1,30.5,28.0,12,1
2019-10-05,2019,10,26.0,28.5,26.8,12,1
2019-10-07,2019,10,25.8,33.2,28.3,12,1
2019-10-08,2019,10,27.1,30.5,28.9,12,1
2019-10-10,2019,10,25.3,34.0,28.2,12,1
2019-10-11,2019,10,25.9,36.3,29.8,12,1
2019-10-12,2019,10,28.4,38.2,32.0,12,1
2019-10-13,2019,10,25.5,37.2,29.2,12,1
2019-10-15,2019,10,26.1,29.2,27.2,12,1
2019-10-16,2019,10,26.5,29.0,27.1,12,1
2019-10-17,2019,10,28.5,39.8,32.9,12,1
2019-10-18,2019,10,28.5,38.2,31.5,12,1
2019-10-23,2019,10,27.2,32.8,30.1,12,1
2019-10-24,2019,10,28.5,35.4,32.3,12,1
2019-10-26,2019,10,27.1,31.9,28.9,12,1
2019-10-27,2019,10,25.2,36.0,30.8,12,1
2019-10-28,2019,10,25.3,35.2,29.7,12,1
2019-11-04,2019,11,26.9,36.2,30.7,12,1
2020-02-17,2020,2,26.5,33.2,29.4,12,1
2020-02-24,2020,2,26.2,34.8,29.8,12,1
2020-02-25,2020,2,25.9,34.6,29.7,12,1
2020-04-06,2020,4,25.1,28.9,26.3,12,1
2020-04-11,2020,4,25.4,31.7,27.0,12,1
2020-04-29,2020,4,27.3,29.0,27.8,12,1
2020-04-30,2020,4,28.4,33.5,30.8,12,1
2020-05-01,2020,5,25.1,35.3,28.3,12,1
2020-05-27,2020,5,25.2,29.6,26.9,12,1
2020-06-06,2020,6,25.2,37.2,27.1,12,1
2020-06-10,2020,6,25.3,28.4,27.0,12,1
2020-06-14,2020,6,26.6,44.5,34.2,12,1
2020-06-17,2020,6,35.2,45.0,39.2,12,1
2020-06-18,2020,6,29.1,33.9,30.7,12,1
2020-06-21,2020,6,25.4,32.5,27.9,12,1
2020-06-22,2020,6,34.0,37.0,35.6,12,1
2020-06-28,2020,6,26.0,32.7,29.0,12,1
2020-07-12,2020,7,25.2,28.9,26.1,12,1
2020-07-13,2020,7,25.2,28.5,26.5,12,1
2020-07-21,2020,7,25.6,28.0,26.7,12,1
2020-07-22,2020,7,26.2,28.8,26.9,12,1
2020-07-24,2020,7,25.9,29.4,27.3,12,1
2020-07-27,2020,7,25.6,28.4,26.6,12,1
2020-07-28,2020,7,25.5,29.0,27.1,12,1
2020-07-29,2020,7,25.1,27.0,25.8,12,1
2020-07-31,2020,7,26.8,31.0,28.4,12,1
2020-08-01,2020,8,26.8,29.8,27.9,12,1
2020-08-02,2020,8,26.4,29.5,27.5,12,1
2020-08-03,2020,8,26.5,29.1,27.4,12,1
2020-08-04,2020,8,26.5,28.4,27.2,12,1
2020-08-05,2020,8,25.2,28.0,26.5,12,1
2020-08-07,2020,8,25.9,27.6,26.3,12,1
2020-08-08,2020,8,26.0,29.0,27.3,12,1
2020-08-09,2020,8,25.1,27.5,26.0,12,1
2020-08-11,2020,8,25.4,27.6,26.2,12,1
2020-08-12,2020,8,25.8,27.9,26.6,12,1
2020-08-13,2020,8,25.7,28.3,26.8,12,1
2020-08-14,2020,8,26.4,28.6,27.2,12,1
2020-08-15,2020,8,26.3,29.0,27.3,12,1
2020-08-16,2020,8,27.2,30.0,28.1,12,1
2020-08-17,2020,8,27.0,29.6,27.8,12,1
2020-08-18,2020,8,25.6,28.7,26.8,12,1
2020-08-20,2020,8,26.1,29.0,27.4,12,1
2020-08-21,2020,8,27.9,35.4,30.1,12,1
2020-08-22,2020,8,27.1,29.5,28.0,12,1
2020-08-23,2020,8,27.0,28.5,27.4,12,1
2020-08-24,2020,8,26.6,29.0,27.6,12,1
2020-08-25,2020,8,26.6,28.8,27.5,12,1
2020-08-26,2020,8,26.6,28.8,27.5,12,1
2020-08-27,2020,8,26.9,30.1,28.0,12,1
2020-08-28,2020,8,26.7,29.0,27.6,12,1
2020-08-29,2020,8,26.5,29.0,27.6,12,1
2020-08-30,2020,8,25.9,29.8,27.6,12,1
2020-08-31,2020,8,25.3,29.4,27.2,12,1
2020-09-01,2020,9,26.5,29.2,27.5,12,1
2020-09-02,2020,9,26.8,29.9,28.0,12,1
2020-09-03,2020,9,27.7,30.6,28.7,12,1
2020-09-04,2020,9,27.0,28.5,27.7,12,1
2020-09-05,2020,9,27.0,29.0,27.8,12,1
2020-09-06,2020,9,26.8,35.5,30.6,12,1
2020-09-07,2020,9,26.5,30.2,28.5,12,1
2020-09-08,2020,9,27.2,29.5,28.2,12,1
2020-09-09,2020,9,27.0,29.9,28.2,12,1
2020-09-10,2020,9,28.2,31.8,30.0,12,1
2020-09-11,2020,9,28.0,31.2,29.2,12,1
2020-09-12,2020,9,27.5,30.0,28.4,12,1
2020-09-13,2020,9,27.6,29.9,28.5,12,1
2020-09-14,2020,9,27.0,29.9,28.1,12,1
2020-09-15,2020,9,27.0,30.5,28.4,12,1
2020-09-16,2020,9,27.2,29.5,27.9,12,1
2020-09-17,2020,9,26.2,29.4,27.7,12,1
2020-09-18,2020,9,27.0,29.5,28.0,12,1
2020-09-19,2020,9,26.4,30.0,28.0,12,1
2020-09-20,2020,9,25.5,28.1,27.0,12,1
2020-09-21,2020,9,26.8,29.4,27.7,12,1
2020-09-22,2020,9,26.3,29.0,27.3,12,1
2020-09-23,2020,9,25.5,28.9,26.9,12,1
2020-09-24,2020,9,27.8,31.0,29.3,12,1
2020-09-25,2020,9,28.6,31.5,29.5,12,1
2020-09-26,2020,9,27.2,33.2,29.2,12,1
2020-09-27,2020,9,27.4,30.0,28.3,12,1
2020-09-29,2020,9,25.9,30.6,27.7,12,1
2020-09-30,2020,9,29.0,30.9,29.3,12,1
2020-10-01,2020,10,31.1,33.5,32.3,12,1
2020-10-02,2020,10,27.6,34.8,30.9,12,1
2020-10-06,2020,10,26.0,28.8,27.6,12,1
2020-10-07,2020,10,27.2,29.5,28.0,12,1
2020-10-08,2020,10,29.0,40.8,33.4,12,1
2020-10-09,2020,10,27.1,39.4,32.9,12,1
2020-10-12,2020,10,26.5,27.8,27.1,12,1
2020-10-13,2020,10,27.0,31.0,28.8,12,1
2020-10-14,2020,10,27.2,32.8,29.0,12,1
2020-10-15,2020,10,27.7,39.8,32.0,12,1
2020-10-16,2020,10,28.9,39.8,33.6,12,1
2020-10-17,2020,10,28.2,40.2,31.8,12,1
2020-10-18,2020,10,28.5,40.4,32.1,12,1
2020-10-19,2020,10,27.6,39.0,32.5,12,1
2020-10-20,2020,10,26.8,38.7,30.5,12,1
2020-10-21,2020,10,26.0,32.8,28.5,12,1
2020-10-22,2020,10,26.1,30.5,28.3,12,1
2020-10-23,2020,10,26.8,31.2,28.4,12,1
2020-10-24,2020,10,28.6,39.0,31.5,12,1
2020-10-26,2020,10,25.2,38.3,31.2,12,1
2020-10-28,2020,10,26.4,38.3,30.6,12,1
2020-11-07,2020,11,26.0,30.2,27.3,12,1
2021-04-03,2021,4,25.5,30.2,27.2,12,1
2021-04-11,2021,4,25.2,30.6,27.7,12,1
2021-04-12,2021,4,25.7,36.8,28.8,12,1
2021-04-13,2021,4,26.2,37.5,31.6,12,1
2021-05-11,2021,5,29.5,35.3,31.9,12,1
2021-05-13,2021,5,27.2,30.7,28.9,12,1
2021-05-18,2021,5,25.3,32.4,28.2,12,1
2021-05-29,2021,5,25.1,27.5,26.3,12,1
2021-06-03,2021,6,27.0,30.1,29.1,12,1
2021-06-04,2021,6,28.0,34.8,30.7,12,1
2021-06-05,2021,6,28.9,35.3,32.3,12,1
2021-06-06,2021,6,28.7,33.3,31.4,12,1
2021-06-07,2021,6,27.1,43.2,30.3,12,1
2021-06-22,2021,6,26.7,28.8,28.0,12,1
2021-06-23,2021,6,29.2,31.4,30.3,12,1
2021-06-24,2021,6,28.0,31.9,29.2,12,1
2021-08-03,2021,8,25.5,28.9,26.7,12,1
2021-08-04,2021,8,25.4,27.5,26.1,12,1
2021-08-05,2021,8,25.1,27.8,26.0,12,1
2021-08-06,2021,8,25.8,27.9,26.5,12,1
2021-08-07,2021,8,25.5,27.9,26.3,12,1
2021-08-11,2021,8,26.0,29.0,26.8,12,1
2021-08-12,2021,8,28.6,34.0,30.8,12,1
2021-08-13,2021,8,25.8,29.9,27.3,12,1
2021-08-14,2021,8,26.0,29.4,27.3,12,1
2021-08-15,2021,8,26.1,28.5,26.8,12,1
2021-08-16,2021,8,25.5,27.5,26.4,12,1
2021-08-17,2021,8,26.1,28.7,27.2,12,1
2021-08-18,2021,8,26.0,28.4,26.7,12,1
2021-08-19,2021,8,26.3,28.3,27.1,12,1
2021-08-20,2021,8,26.0,29.2,27.3,12,1
