month,month_name,total_nights,tropical_nights,tropical_pct,avg_min_temp,min_of_mins,max_of_mins
1,Jan,217,0,0.0,18.1,12.0,24.7
2,Feb,198,4,2.0,19.2,14.5,26.5
3,Mar,217,1,0.5,19.4,15.4,25.7
4,Apr,210,17,8.1,20.9,16.4,28.4
5,May,217,25,11.5,21.7,17.0,30.4
6,Jun,210,59,28.1,23.9,19.4,35.2
7,Jul,217,53,24.4,24.1,20.9,28.7
8,Aug,217,168,77.4,25.8,22.5,30.0
9,Sep,210,181,86.2,26.6,22.6,31.4
10,Oct,217,136,62.7,25.7,21.4,31.1
11,Nov,210,14,6.7,21.8,16.0,29.0
12,Dec,216,2,0.9,18.7,14.2,26.4
