month,month_name,hour,hour_label,avg_temp,min_temp,max_temp,above_25_pct
1,Jan,18,18:00,28.1,21.5,34.3,79.7
1,Jan,19,19:00,26.3,20.4,32.8,63.1
1,Jan,20,20:00,25.0,19.2,31.7,47.9
1,Jan,21,21:00,24.1,18.2,30.7,34.6
1,Jan,22,22:00,23.2,17.0,30.1,23.0
1,Jan,23,23:00,22.4,16.8,29.2,13.8
1,Jan,0,00:00,21.7,15.1,29.0,9.7
1,Jan,1,01:00,20.7,14.1,27.6,4.1
1,Jan,2,02:00,19.9,13.5,26.6,2.3
1,Jan,3,03:00,19.3,13.0,26.0,1.4
1,Jan,4,04:00,18.6,12.5,25.0,0.0
1,Jan,5,05:00,18.1,12.0,24.7,0.0
2,Feb,18,18:00,29.0,20.1,36.8,82.8
2,Feb,19,19:00,27.2,18.9,35.0,68.2
2,Feb,20,20:00,25.9,18.6,33.6,57.6
2,Feb,21,21:00,25.0,18.2,32.1,49.5
2,Feb,22,22:00,24.2,18.0,31.1,40.4
2,Feb,23,23:00,23.5,17.8,30.0,29.8
2,Feb,0,00:00,22.8,17.7,29.2,18.7
2,Feb,1,01:00,21.9,17.0,28.3,11.1
2,Feb,2,02:00,21.2,16.5,28.1,6.6
2,Feb,3,03:00,20.5,15.9,27.5,3.5
2,Feb,4,04:00,19.9,15.1,27.5,3.0
2,Feb,5,05:00,19.2,14.5,26.5,2.0
3,Mar,18,18:00,27.2,19.6,39.0,61.3
3,Mar,19,19:00,25.2,18.5,37.5,47.0
3,Mar,20,20:00,23.9,18.0,35.5,34.6
3,Mar,21,21:00,23.3,17.9,34.2,30.0
3,Mar,22,22:00,22.9,17.8,33.2,24.9
3,Mar,23,23:00,22.5,17.2,32.2,22.1
3,Mar,0,00:00,22.0,16.6,30.7,15.7
3,Mar,1,01:00,21.4,16.3,29.2,6.9
3,Mar,2,02:00,20.8,15.9,28.2,4.1
3,Mar,3,03:00,20.3,15.8,27.3,1.8
3,Mar,4,04:00,19.8,15.6,26.5,1.4
3,Mar,5,05:00,19.4,15.4,25.7,0.5
4,Apr,18,18:00,26.4,20.0,39.9,54.8
4,Apr,19,19:00,24.7,19.0,38.3,40.5
4,Apr,20,20:00,23.9,18.4,37.3,31.9
4,Apr,21,21:00,23.6,18.0,34.2,30.0
4,Apr,22,22:00,23.4,17.7,33.0,31.0
4,Apr,23,23:00,23.2,17.5,33.2,29.5
4,Apr,0,00:00,22.9,17.2,31.6,26.7
4,Apr,1,01:00,22.3,17.1,30.6,19.0
4,Apr,2,02:00,21.9,16.8,30.3,16.7
4,Apr,3,03:00,21.6,16.5,29.8,16.2
4,Apr,4,04:00,21.3,16.5,29.0,11.0
4,Apr,5,05:00,21.1,16.4,28.4,10.0
5,May,18,18:00,26.1,19.6,45.0,54.4
5,May,19,19:00,24.7,19.0,38.3,42.9
5,May,20,20:00,23.9,18.6,35.6,30.0
5,May,21,21:00,23.6,18.4,34.9,26.3
5,May,22,22:00,23.5,18.2,35.3,26.7
5,May,23,23:00,23.4,18.0,34.4,24.9
5,May,0,00:00,23.2,17.4,33.8,22.6
5,May,1,01:00,22.8,17.0,33.4,19.8
5,May,2,02:00,22.6,17.0,33.2,19.4
5,May,3,03:00,22.5,17.0,32.9,17.5
5,May,4,04:00,22.3,17.1,32.5,18.0
5,May,5,05:00,22.1,17.2,32.3,17.5
6,Jun,18,18:00,28.1,21.8,45.0,78.1
6,Jun,19,19:00,26.8,20.9,44.0,63.8
6,Jun,20,20:00,25.9,20.4,41.8,52.9
6,Jun,21,21:00,25.7,20.5,40.2,48.1
